iteration,mean_reward,total_reward,vessel_mean_reward,port_mean_reward,coordinator_mean_reward,lr,entropy_coeff,rollout_time,update_time,iter_time,vessel_policy_loss,vessel_value_loss,vessel_entropy,vessel_clip_frac,vessel_grad_norm,vessel_approx_kl,vessel_kl_early_stopped,vessel_explained_variance,port_policy_loss,port_value_loss,port_entropy,port_clip_frac,port_grad_norm,port_approx_kl,port_kl_early_stopped,port_explained_variance,coordinator_policy_loss,coordinator_value_loss,coordinator_entropy,coordinator_clip_frac,coordinator_grad_norm,coordinator_approx_kl,coordinator_kl_early_stopped,coordinator_explained_variance,eval,total_train_time
0,-34.62112294287202,-2215.7518683438093,-2.3572886350048283,-1.45,-32.26383430786719,0.00029624999999999996,0.01,3.3107721760002278,0.4867497929999445,3.7975251769998977,-0.006939724640687928,91.89598280191422,1.8376299999654293,0.0087890625,55.12006485462189,0.0016561458760406822,False,0.020671188831329346,-0.005451070237904787,1.5236283779144286,1.4643077462911607,0.0,4.776355916261673,0.00036183963529765604,False,0.05841410160064697,-0.010716859251260757,114.03775215148926,2.9956226348876953,0.0,25.91832049190998,0.0001531541347503662,False,-0.08564925193786621,,
1,-54.02609206950365,-3457.6698924482334,-3.1535099841971235,-1.465625,-50.87258208530653,0.00029249999999999995,0.01,2.7431027580000773,0.634764401999746,3.3778700940001727,-0.007807603804394603,61.425031304359436,1.8389965444803238,0.01953125,31.50217403098941,0.0021219693298917264,False,0.0029285550117492676,-0.000587786128744483,4.215112192928791,1.4323164254426957,0.0,11.645689541101456,2.3859459906816484e-05,False,0.024777472019195557,-0.0010087927803397179,100.70745849609375,2.9955878257751465,0.0,51.774210408329964,1.0957708582282066e-05,False,0.041153907775878906,,
2,-50.76489766683131,-3248.953450677204,-2.9183552516918927,-1.446875,-47.84654241513943,0.00028875,0.01,2.3366649980002876,0.49702788500007955,2.833695266000177,-0.009108152778935619,46.25371253490448,1.8379172179847956,0.029296875,23.17857426032424,0.003026579273864627,False,0.018401384353637695,-0.006940254895016551,3.152633382380009,1.4149982154369354,0.00078125,8.59805803000927,0.0002715813461691141,False,0.10593491792678833,9.605707600712776e-05,77.97582817077637,2.9953397810459137,0.0,57.727903008461,1.1063413694500923e-05,False,0.07516175508499146,,
3,-33.47016332485203,-2142.09045279053,-2.1220611046905504,-1.43125,-31.34810222016148,0.000285,0.01,2.52960042299992,0.5391240609997112,3.0687272340001073,-0.005136678286362439,66.64605396986008,1.8337727468460798,0.0166015625,24.980422511696815,0.0017423845420125872,False,0.028125524520874023,-0.004728218540549278,2.7538839384913443,1.4294185161590576,0.0,15.789549517631531,0.00015932172536849975,False,0.16037607192993164,-0.0004698950797319412,62.807819843292236,2.995250403881073,0.0,35.76385396718979,2.150190994143486e-06,False,0.09650230407714844,,
4,-30.888894147446905,-1976.889225436602,-1.8928024825823344,-1.43125,-28.996091664864576,0.00028125,0.01,2.5057564779999666,0.5934095659999912,3.0991690690002542,-0.015809900010935962,63.009573578834534,1.838658457621932,0.0517578125,24.88804974220693,0.004106539883650839,False,0.09242725372314453,-0.006821070797741413,3.429319527745247,1.4158191800117492,0.0015625,15.739029504731297,0.00032218093983829024,False,0.1524951457977295,-0.00013649649918079376,69.36765956878662,2.9951923489570618,0.0,57.886780977249146,6.747432053089142e-07,False,0.10325616598129272,,
5,-65.15477554528216,-4169.905634898058,-3.5262164912563287,-1.415625,-61.62855905402584,0.00027749999999999997,0.01,2.6153931570001987,0.6280728249998901,3.243468914999994,-0.011663372803013772,52.33013579249382,1.8331299535930157,0.0595703125,13.30749074369669,0.004804646567208692,False,0.07632684707641602,-0.005461174389347434,2.3540255188941956,1.3979400187730788,0.00078125,8.50686087012291,0.00020677237771451473,False,0.30732572078704834,-0.00013116002082824707,89.60948657989502,2.994815766811371,0.0,85.55490885674953,3.8207508623600006e-07,False,0.13495641946792603,,
6,-35.84727759663166,-2294.2257661844264,-2.369885799897722,-1.440625,-33.47739179673395,0.00027374999999999996,0.01,2.2890525520001574,0.791006341999946,3.080061827999998,-0.0008897712687030435,53.679866552352905,1.8229931257665157,0.0,36.0164829492569,0.0003808801993727684,False,0.08300590515136719,-0.0035670709796249865,4.177339954674244,1.4513881295919417,0.0,15.436016424372792,0.00017372849397361277,False,0.14537572860717773,-0.0003774687647819519,13.21617579460144,2.995246648788452,0.0,38.500145100057125,3.791181370615959e-06,False,0.25068777799606323,,
7,-42.81809894513408,-2740.3583324885813,-2.7406746627215215,-1.425,-40.07742428241254,0.00027,0.01,3.4581263899999612,0.6689256739996381,4.127059672000087,-0.0029521959368139505,43.47740516066551,1.8233177848160267,0.0,26.6136062592268,0.00017636260599829257,False,0.0978432297706604,-0.0017762614414095878,3.2502390325069426,1.450797614455223,0.0,14.027198947966099,9.867148473858833e-05,False,0.2780260443687439,-0.0011127833276987076,21.70711326599121,2.9951271414756775,0.0,27.1490638256073,6.203539669513702e-06,False,0.3045162558555603,,
8,-30.87006896528792,-1975.684413778427,-1.8958733137807449,-1.409375,-28.974195651507177,0.00026624999999999994,0.01,3.2017102700001487,0.5641907060003177,3.765903635000086,-0.002604061271995306,62.15013360977173,1.825459348037839,0.00146484375,114.70611280575395,0.0002343093801755458,False,0.1931668519973755,-0.003926521446555853,5.2873012781143185,1.4117073982954025,0.0,26.739401987195016,0.00013840459287166594,False,0.16186928749084473,-0.0003987690433859825,68.2993597984314,2.9951618015766144,0.0,27.487388730049133,1.7832498997449875e-06,False,0.20241379737854004,,
9,-45.39615648909244,-2905.354015301916,-2.6412720611574008,-1.425,-42.75488442793504,0.0002625,0.01,2.665970684000058,0.7014131349997115,3.367386384999918,-0.005578473792411387,37.951885402202606,1.824061743915081,0.0,30.69153381884098,0.0003549219691194594,False,0.26096969842910767,-0.0015344935469329356,3.664484405517578,1.4158165276050567,0.0,20.150656604021787,0.00018474622629582882,False,0.33134329319000244,-0.00012535951100289822,49.34217548370361,2.9950085282325745,0.0,29.078029453754425,2.0419247448444366e-07,False,0.3098708987236023,"{'mean_vessel_reward': -3.5524006740666634, 'mean_port_reward': -1.4130434782608696, 'mean_coordinator_reward': -62.342695908560245, 'total_reward': -4644.261664201256, 'avg_speed': 8.0, 'avg_fuel_remaining': 25.431856638451, 'total_fuel_used': 596.545146892392, 'total_emissions_co2': 1857.641587422909, 'avg_delay_hours': 8.0, 'on_time_rate': 0.0, 'avg_queue': 0.0, 'dock_utilization': 0.0, 'total_wait_hours': 23.0, 'total_vessels_served': 12, 'avg_wait_per_vessel': 1.9166666666666667, 'fuel_cost_usd': 357927.0881354352, 'delay_cost_usd': 320000.0, 'carbon_cost_usd': 167187.74286806182, 'total_ops_cost_usd': 845114.8310034971, 'price_per_vessel_usd': 105639.35387543714, 'cost_reliability': 0.8943606461245629}",
